id,category,content_type,title,target_page,priority,status
1,AI・ガジェット,集客,急速充電器は何Wを選ぶべきか,charging-power-items-comparison,A,planned
2,AI・ガジェット,集客,20Wと30W充電器の違い,charging-power-items-comparison,A,planned
3,AI・ガジェット,集客,ノートPC対応充電器の確認項目,charging-power-items-comparison,A,planned
4,AI・ガジェット,収益,小型USB-C充電器おすすめ候補,charging-power-items-comparison,A,planned
5,AI・ガジェット,収益,多ポート充電器おすすめ候補,charging-power-items-comparison,A,planned
6,AI・ガジェット,集客,USB-Cケーブルで充電速度が変わる理由,charging-power-items-comparison,A,planned
7,AI・ガジェット,集客,充電器が熱くなる原因と確認点,charging-power-items-comparison,B,planned
8,AI・ガジェット,比較,急速充電器とモバイルバッテリーの選び分け,category-ai-gadgets,A,planned
9,AI・ガジェット,集客,モバイルバッテリー容量の選び方,charging-power-items-comparison,A,planned
10,AI・ガジェット,集客,5000mAhと10000mAhの違い,charging-power-items-comparison,A,planned
11,AI・ガジェット,集客,飛行機に持ち込めるモバイルバッテリー,charging-power-items-comparison,A,planned
12,AI・ガジェット,収益,軽量モバイルバッテリーおすすめ候補,charging-power-items-comparison,A,planned
13,AI・ガジェット,収益,高出力モバイルバッテリーおすすめ候補,charging-power-items-comparison,A,planned
14,AI・ガジェット,集客,MagSafe対応バッテリーの注意点,charging-power-items-comparison,B,planned
15,AI・ガジェット,集客,モバイルバッテリーの処分方法,charging-power-items-comparison,B,planned
16,AI・ガジェット,集客,AIライティングツールの無料版と有料版,ai-tools-comparison,B,planned
17,AI・ガジェット,集客,AIツールの商用利用で確認すること,ai-tools-comparison,B,planned
18,AI・ガジェット,集客,議事録AIへ入力してはいけない情報,ai-tools-comparison,B,planned
19,AI・ガジェット,比較,AI画像生成とデザインツールの違い,ai-tools-comparison,C,planned
20,AI・ガジェット,集客,AIボイスレコーダーの選び方,ai-tools-comparison,B,planned
21,美容,集客,スキンケアは何から始めるか,skincare-basics-comparison,A,planned
22,美容,集客,洗顔と保湿だけで始める手順,skincare-basics-comparison,A,planned
23,美容,集客,化粧水とオールインワンの違い,skincare-basics-comparison,A,planned
24,美容,収益,洗顔料おすすめ候補,skincare-basics-comparison,A,planned
25,美容,収益,保湿アイテムおすすめ候補,skincare-basics-comparison,A,planned
26,美容,収益,日焼け止めおすすめ候補,skincare-basics-comparison,A,planned
27,美容,集客,ベタつきにくい保湿の選び方,skincare-basics-comparison,B,planned
28,美容,集客,スキンケアを続けやすくする順番,skincare-basics-comparison,B,planned
29,フィットネス,集客,家トレ初心者に必要な道具,home-training-items-comparison,A,planned
30,フィットネス,収益,トレーニングマットおすすめ候補,home-training-items-comparison,A,planned
31,フィットネス,収益,トレーニングチューブおすすめ候補,home-training-items-comparison,A,planned
32,フィットネス,集客,マンションで静かに家トレする方法,home-training-items-comparison,B,planned
33,フィットネス,比較,ダンベルとチューブの選び分け,home-training-items-comparison,B,planned
34,フィットネス,集客,フォームローラーのサイズ選び,home-training-items-comparison,C,planned
35,季節・暮らし,集客,暑さ対策グッズを使う場所で選ぶ方法,heat-relief-items-comparison,A,planned
36,季節・暮らし,収益,携帯扇風機おすすめ候補,heat-relief-items-comparison,A,planned
37,季節・暮らし,集客,携帯扇風機の重さと音の確認点,heat-relief-items-comparison,A,planned
38,季節・暮らし,収益,冷感寝具おすすめ候補,heat-relief-items-comparison,A,planned
39,季節・暮らし,集客,冷感敷きパッドの素材の違い,heat-relief-items-comparison,B,planned
40,季節・暮らし,収益,サーキュレーターおすすめ候補,heat-relief-items-comparison,A,planned
41,季節・暮らし,集客,扇風機とサーキュレーターの違い,heat-relief-items-comparison,A,planned
42,季節・暮らし,集客,部屋干しに向く送風家電の選び方,heat-relief-items-comparison,B,planned
43,季節・暮らし,集客,ネッククーラーの重さと稼働時間,heat-relief-items-comparison,B,planned
44,季節・暮らし,集客,遮光カーテンを買う前の採寸方法,heat-relief-items-comparison,B,planned
45,季節・暮らし,集客,寝苦しい夜に見直す寝室環境,heat-relief-items-comparison,C,planned
46,季節・暮らし,比較,外出用と室内用の暑さ対策,heat-relief-items-comparison,B,planned
47,防災・備蓄,集客,防災リュックに必要なもの,disaster-preparedness-items-comparison,A,planned
48,防災・備蓄,収益,防災リュックおすすめ候補,disaster-preparedness-items-comparison,A,planned
49,防災・備蓄,集客,一人暮らしの防災備蓄リスト,disaster-preparedness-items-comparison,A,planned
50,防災・備蓄,集客,携帯トイレは何回分必要か,disaster-preparedness-items-comparison,A,planned
51,防災・備蓄,収益,携帯トイレおすすめ候補,disaster-preparedness-items-comparison,A,planned
52,防災・備蓄,集客,非常食の保存期限を管理する方法,disaster-preparedness-items-comparison,A,planned
53,防災・備蓄,収益,非常食セットおすすめ候補,disaster-preparedness-items-comparison,A,planned
54,防災・備蓄,集客,ポータブル電源の容量の選び方,disaster-preparedness-items-comparison,A,planned
55,防災・備蓄,集客,停電時に必要な電力を計算する方法,disaster-preparedness-items-comparison,B,planned
56,防災・備蓄,収益,防災ラジオおすすめ候補,disaster-preparedness-items-comparison,B,planned
57,防災・備蓄,集客,手回し充電とソーラー充電の違い,disaster-preparedness-items-comparison,B,planned
58,防災・備蓄,集客,防災用品を年2回見直す方法,disaster-preparedness-items-comparison,B,planned
59,家事・時短,集客,時短家電は何から買うべきか,housework-timesaving-items-comparison,A,planned
60,家事・時短,収益,ロボット掃除機おすすめ候補,housework-timesaving-items-comparison,A,planned
61,家事・時短,集客,ロボット掃除機が向かない部屋,housework-timesaving-items-comparison,A,planned
62,家事・時短,収益,布団乾燥機おすすめ候補,housework-timesaving-items-comparison,A,planned
63,家事・時短,集客,布団乾燥機を梅雨と冬で使い分ける方法,housework-timesaving-items-comparison,B,planned
64,家事・時短,収益,衣類スチーマーおすすめ候補,housework-timesaving-items-comparison,A,planned
65,家事・時短,比較,衣類スチーマーとアイロンの違い,housework-timesaving-items-comparison,A,planned
66,家事・時短,収益,電気圧力鍋おすすめ候補,housework-timesaving-items-comparison,A,planned
67,家事・時短,集客,電気圧力鍋の容量の選び方,housework-timesaving-items-comparison,B,planned
68,家事・時短,収益,部屋干し家電おすすめ候補,housework-timesaving-items-comparison,A,planned
69,家事・時短,集客,炊飯器は3合と5合のどちらを選ぶか,kitchen-appliances-comparison,A,planned
70,家事・時短,収益,炊飯器おすすめ候補,kitchen-appliances-comparison,A,planned
71,家事・時短,集客,単機能レンジとオーブンレンジの違い,kitchen-appliances-comparison,A,planned
72,家事・時短,収益,電子レンジおすすめ候補,kitchen-appliances-comparison,A,planned
73,家事・時短,集客,電気ケトルの容量と安全機能,kitchen-appliances-comparison,A,planned
74,家事・時短,収益,電気ケトルおすすめ候補,kitchen-appliances-comparison,A,planned
