service_group,category,reader_problem,comparison_points,network_candidates,risk_level,status,notes
AIライティングツール,AI・ガジェット,ブログやSNSの文章作成を短縮したい,月額料金|無料枠|日本語品質|商用利用|解約条件,PartnerStack|Impact|A8,low,research,公式料金と商用利用条件を確認してから登録
AIデザインツール,AI・ガジェット,SNS画像やアイキャッチを作りたい,無料枠|テンプレート|商用利用|出力形式|解約条件,Adobe|PartnerStack|Impact,low,research,画像権利と商用利用条件を必ず確認
宅配クリーニング,季節・暮らし,衣替えや保管の手間を減らしたい,対応エリア|料金|保管期間|送料|キャンセル条件,A8|もしも|バリューコマース,medium,research,地域差とキャンセル条件を確認
家事代行・時短サービス,季節・暮らし,掃除や家事の時間を減らしたい,対応エリア|最低利用時間|料金|予約変更|口コミ確認点,A8|バリューコマース,medium,research,対応エリアと安全面の記載を確認
メンズ美容サブスク,美容・フィットネス,身だしなみを手軽に始めたい,初回料金|通常料金|定期条件|解約条件|対象肌質,A8|もしも,medium,research,薬機法・効果断定表現を避ける
転職エージェント,キャリア,仕事選びを相談したい,対象職種|サポート範囲|無料/有料|面談方法|実績根拠,A8|バリューコマース,high,hold,人間確認必須。成功保証表現は禁止
美容脱毛サービス,美容,脱毛方式と総額を比較したい,方式|総額|対象部位|追加費用|予約|解約,A8,high,apply,レジーナ|フェミー|RinRinを優先。医療広告表現は人間確認
家庭用光美容器,美容,自宅でケアしたい,価格|対応部位|使用頻度|保証|適合条件,A8|楽天,medium,apply,Ulikeを優先。効果保証は禁止
動画配信サービス,エンタメ,見たい作品を無駄なく見たい,月額|作品|同時視聴|画質|解約,A8,low,apply,DMM TV|dアニメ|WOWOWを優先
光回線,ネット通信,自宅回線を選びたい,提供住所|月額|工事費|契約期間|解約費,A8,medium,apply,ビッグローブ光|おてがる光|ahamo光を優先
クレジットカード,金融,生活圏に合うカードを選びたい,年会費|還元条件|保険|上限|支払方法,A8,high,apply,三井住友NL|リクルート|エポス。審査保証禁止
占い・相談,エンタメ,料金上限を決めて相談したい,課金単位|通常料金|自動延長|退会|個人情報,A8,high,research,記事より公式バナー中心。的中保証・依存訴求禁止
